player_name,team_name,competition,season,position,goals,assists,played_matches,age,predicted_value_eur
Lamine Yamal,FC Barcelona,PD,2025,,16,11,28,18.053388090349078,107736112.0
Kylian Mbappé,Real Madrid CF,PD,2025,,25,4,31,26.614647501711158,100383184.0
Erling Haaland,Manchester City FC,PL,2025,,27,8,36,25.02943189596167,97628392.0
Vinicius Junior,Real Madrid CF,PD,2025,,16,5,35,25.05407255304586,93895648.0
Moisés Caicedo,Chelsea FC,PL,2025,,3,1,34,23.745379876796715,92636024.0
Luis Díaz,FC Bayern München,BL1,2025,,15,12,32,28.54757015742642,90782448.0
Enzo Fernández,Chelsea FC,PL,2025,,10,4,36,24.536618754277892,88844032.0
Dominik Szoboszlai,Liverpool FC,PL,2025,,6,7,36,24.76659822039699,86127672.0
Dani Olmo,FC Barcelona,PD,2025,,7,9,33,27.236139630390145,86096792.0
Bukayo Saka,Arsenal FC,PL,2025,,7,5,32,23.904175222450377,82442336.0
Michael Olise,FC Bayern München,BL1,2025,,15,19,33,23.63586584531143,80878912.0
Declan Rice,Arsenal FC,PL,2025,,4,5,37,26.546201232032853,80765296.0
Marcus Rashford,FC Barcelona,PD,2025,,8,7,36,27.750855578370977,80548840.0
Federico Valverde,Real Madrid CF,PD,2025,,5,6,32,27.028062970568104,78780688.0
Viktor Gyökeres,Arsenal FC,PL,2025,,14,1,36,27.159479808350444,77411072.0
Bryan Mbeumo,Manchester United FC,PL,2025,,11,3,33,25.984941820670773,73484784.0
João Pedro,Chelsea FC,PL,2025,,15,5,35,23.8466803559206,72696432.0
Phil Foden,Manchester City FC,PL,2025,,7,5,36,25.177275838466805,71605424.0
Jude Bellingham,Real Madrid CF,PD,2025,,6,4,27,22.091718001368925,71261400.0
Nicolas Jackson,FC Bayern München,BL1,2025,,8,1,26,24.11498973305955,68632792.0
Pedro Neto,Chelsea FC,PL,2025,,5,5,34,25.39630390143737,68313208.0
Raphinha,FC Barcelona,PD,2025,,13,3,24,28.629705681040384,67661336.0
Florian Wirtz,Liverpool FC,PL,2025,,6,3,33,22.247775496235455,66927672.0
Cole Palmer,Chelsea FC,PL,2025,,10,1,27,23.238877481177276,66403544.0
Khvicha Kvaratskhelia,Paris Saint-Germain FC,FL1,2025,,8,2,31,24.465434633812457,65654708.0
Matheus Cunha,Manchester United FC,PL,2025,,10,2,34,26.182067077344286,64668148.0
Ousmane Dembélé,Paris Saint-Germain FC,FL1,2025,,10,7,24,28.213552361396303,63298080.0
Antoine Semenyo,Manchester City FC,PL,2025,,17,4,37,25.56605065023956,63128440.0
Kang-in Lee,Paris Saint-Germain FC,FL1,2025,,3,4,29,24.44626967830253,63056236.0
Morgan Rogers,Aston Villa FC,PL,2025,,10,7,37,23.017111567419576,62341104.0
Ryan Gravenberch,Liverpool FC,PL,2025,,5,3,36,23.211498973305954,62254600.0
Lautaro Martínez,FC Internazionale Milano,SA,2025,,17,6,33,27.942505133470227,61304280.0
Donyell Malen,AS Roma,SA,2025,,14,2,18,26.532511978097194,61159344.0
Rayan Cherki,Manchester City FC,PL,2025,,4,12,34,21.95756331279945,60983104.0
Bruno Guimarães,Newcastle United FC,PL,2025,,9,5,30,27.707049965776864,60981128.0
Cody Gakpo,Liverpool FC,PL,2025,,7,5,36,26.236824093086927,60697404.0
Fermín López,FC Barcelona,PD,2025,,6,9,31,22.2258726899384,60563720.0
Nick Woltemade,Newcastle United FC,PL,2025,,8,3,34,23.460643394934976,58818500.0
Bradley Barcola,Paris Saint-Germain FC,FL1,2025,,11,1,31,22.913073237508556,56603188.0
Gonçalo Ramos,Paris Saint-Germain FC,FL1,2025,,6,1,33,24.11498973305955,56289352.0
Richarlison,Tottenham Hotspur FC,PL,2025,,11,4,33,28.227241615331966,55903632.0
Morgan Gibbs-White,Nottingham Forest FC,PL,2025,,15,5,37,25.51129363449692,55796576.0
Kenan Yıldız,Juventus FC,SA,2025,,10,6,37,20.243668720054757,55211040.0
Tijjani Reijnders,Manchester City FC,PL,2025,,5,2,38,27.00889801505818,54977336.0
Konrad Laimer,FC Bayern München,BL1,2025,,3,9,29,28.18069815195072,53957388.0
Nuno Mendes,Paris Saint-Germain FC,FL1,2025,,4,5,24,23.11841204654346,53472076.0
Rafael Leão,AC Milan,SA,2025,,9,3,30,26.143737166324435,53471872.0
Gonzalo García,Real Madrid CF,PD,2025,,6,1,37,21.35523613963039,53089864.0
Harry Wilson,Fulham FC,PL,2025,,10,7,36,28.361396303901437,52943236.0
Martín Zubimendi,Arsenal FC,PL,2025,,5,1,38,26.494182067077343,52533736.0
Eberechi Eze,Arsenal FC,PL,2025,,7,2,37,27.091033538672143,51597884.0
Mathys Tel,Tottenham Hotspur FC,PL,2025,,4,1,38,20.262833675564682,50492396.0
Nico O'Reilly,Manchester City FC,PL,2025,,5,2,35,20.36413415468857,48977380.0
Maximilian Beier,Borussia Dortmund,BL1,2025,,9,5,33,22.78986995208761,48290304.0
Nicolò Barella,FC Internazionale Milano,SA,2025,,3,8,35,28.479123887748116,47963060.0
Rasmus Højlund,SSC Napoli,SA,2025,,13,5,33,22.48870636550308,47885820.0
Alexander Sørloth,Club Atlético de Madrid,PD,2025,,13,0,35,29.65639972621492,46672276.0
Malick Thiaw,Newcastle United FC,PL,2025,,4,0,38,23.980835044490075,45797060.0
Mikel Merino,Arsenal FC,PL,2025,,4,3,24,29.1088295687885,45686780.0
Anthony Gordon,Newcastle United FC,PL,2025,,6,2,30,24.432580424366872,45187168.0
William Osula,Newcastle United FC,PL,2025,,7,0,26,21.99315537303217,45015720.0
Diego Gómez,Brighton & Hove Albion FC,PL,2025,,5,1,32,22.349075975359344,44582676.0
Strahinja Pavlović,AC Milan,SA,2025,,5,1,37,24.188911704312115,44503240.0
Jonathan David,Juventus FC,SA,2025,,6,4,38,25.54688569472964,44480752.0
Warren Zaïre-Emery,Paris Saint-Germain FC,FL1,2025,,3,4,32,19.40041067761807,43625076.0
Giuliano Simeone,Club Atlético de Madrid,PD,2025,,4,6,33,22.62012320328542,43577588.0
Nico Schlotterbeck,Borussia Dortmund,BL1,2025,,5,1,28,25.66735112936345,43362268.0
Karim Adeyemi,Borussia Dortmund,BL1,2025,,7,4,29,23.534565366187543,43156320.0
Christoph Baumgartner,RB Leipzig,BL1,2025,,13,8,33,26.001368925393567,43072768.0
Ernest Poku,Bayer 04 Leverkusen,BL1,2025,,5,5,33,21.508555783709788,42778188.0
Elliot Anderson,Nottingham Forest FC,PL,2025,,4,4,38,22.73511293634497,42328060.0
Malik Tillman,Bayer 04 Leverkusen,BL1,2025,,6,0,29,23.17864476386037,42113368.0
Marcus Tavernier,AFC Bournemouth,PL,2025,,7,4,34,26.362765229295004,41748756.0
Patrik Schick,Bayer 04 Leverkusen,BL1,2025,,16,2,28,29.519507186858316,41461728.0
Federico Dimarco,FC Internazionale Milano,SA,2025,,7,16,38,27.72347707049966,41305440.0
Igor Jesus,Nottingham Forest FC,PL,2025,,6,5,37,24.42984257357974,41204484.0
Patrick Dorgu,Manchester United FC,PL,2025,,4,4,28,20.763860369609855,41148172.0
Dango Ouattara,Brentford FC,PL,2025,,7,3,32,23.468856947296374,41049164.0
Francisco Conceição,Juventus FC,SA,2025,,3,5,33,22.63107460643395,40655908.0
Trevoh Chalobah,Chelsea FC,PL,2025,,3,0,35,26.075290896646134,40570852.0
Kevin Schade,Brentford FC,PL,2025,,8,3,35,23.67693360711841,40132312.0
Ismaïla Sarr,Crystal Palace FC,PL,2025,,9,1,28,27.430527036276523,39699116.0
Julian Brandt,Borussia Dortmund,BL1,2025,,7,4,32,29.248459958932237,39535220.0
Christian Pulisic,AC Milan,SA,2025,,8,4,31,26.869267624914443,39534012.0
Jan Paul van Hecke,Brighton & Hove Albion FC,PL,2025,,4,3,36,25.14715947980835,38848116.0
Bruno Fernandes,Manchester United FC,PL,2025,,9,21,35,30.89664613278576,38550284.0
Ange-Yoan Bonny,FC Internazionale Milano,SA,2025,,5,4,35,21.76865160848734,38062300.0
Dušan Vlahović,Juventus FC,SA,2025,,7,0,20,25.508555783709788,37512672.0
Donyell Malen,Aston Villa FC,PL,2025,,4,1,21,26.532511978097194,37467196.0
Weston McKennie,Juventus FC,SA,2025,,5,5,37,26.926762491444215,37464052.0
Ollie Watkins,Aston Villa FC,PL,2025,,16,3,37,29.587953456536617,37133952.0
Iliman Ndiaye,Everton FC,PL,2025,,6,3,32,25.404517453798768,36785288.0
Jarell Quansah,Bayer 04 Leverkusen,BL1,2025,,4,0,30,22.50513347022587,36695940.0
Georges Mikautadze,Villarreal CF,PD,2025,,13,6,33,24.750171115674195,36691180.0
Tajon Buchanan,Villarreal CF,PD,2025,,7,1,35,26.477754962354553,35926784.0
Brenden Aaronson,Leeds United FC,PL,2025,,4,5,38,24.774811772758383,35672500.0
Serge Gnabry,FC Bayern München,BL1,2025,,8,6,25,30.050650239561943,35270692.0
Mikkel Damsgaard,Brentford FC,PL,2025,,4,4,35,25.078713210130047,35197440.0
Jean-Philippe Mateta,Crystal Palace FC,PL,2025,,12,0,32,28.093086926762492,35179052.0
Alexis Saelemaekers,AC Milan,SA,2025,,3,3,35,26.09719370294319,35016512.0
Nikola Krstović,Atalanta BC,SA,2025,,10,5,38,25.322381930184804,34539184.0
Jack Hinshelwood,Brighton & Hove Albion FC,PL,2025,,4,3,30,20.306639288158795,34343356.0
Scott McTominay,SSC Napoli,SA,2025,,10,3,33,28.646132785763175,34084544.0
Dominic Calvert-Lewin,Leeds United FC,PL,2025,,14,1,35,28.37782340862423,33231848.0
Mason Greenwood,Olympique de Marseille,FL1,2025,,16,8,33,23.83299110198494,32968772.0
Harvey Barnes,Newcastle United FC,PL,2025,,7,1,38,27.644079397672826,32901744.0
Evanilson,AFC Bournemouth,PL,2025,,6,2,36,25.82067077344285,32875084.0
