snapshot_date,player_name,team_name,competition,position,age,predicted_value_eur,form_multiplier,contract_modifier,form_score,goals_recent,assists_recent,matches_played_recent,dynamic_value_eur,value_delta_pct
2026-09-12,Kylian Mbappé,Real Madrid CF,PD,,25.61533196440794,124040408.0,1.09,0.95,0.8,4,0,4,128443842.0,3.5
2026-09-12,Erling Haaland,Manchester City FC,PL,,24.030116358658454,120039632.0,1.03,1.0,0.6,3,0,3,123640821.0,3.0
2026-09-12,Florian Wirtz,Bayer 04 Leverkusen,BL1,,21.24845995893224,119180016.0,1.0,1.0,0.0,0,0,0,119180016.0,0.0
2026-09-12,Ousmane Dembélé,Paris Saint-Germain FC,FL1,,27.21423682409309,114443256.0,1.0,0.95,0.0,0,0,0,108721093.0,-5.0
2026-09-12,Vinicius Junior,Real Madrid CF,PD,,24.05475701574264,107915656.0,0.99,1.0,0.4667,1,2,4,106836499.0,-1.0
2026-09-12,Declan Rice,Arsenal FC,PL,,25.54688569472964,102920032.0,1.0,0.95,0.0,0,0,0,97774030.0,-5.0
2026-09-12,Bukayo Saka,Arsenal FC,PL,,22.90485968514716,100040088.0,0.97,1.0,0.4,2,0,3,97038885.0,-3.0
2026-09-12,Raphinha,FC Barcelona,PD,,27.630390143737166,92569968.0,1.09,0.95,0.8,6,0,4,95856202.0,3.6
2026-09-12,Jude Bellingham,Real Madrid CF,PD,,21.09240246406571,90665816.0,1.05,1.0,0.6667,2,2,4,95199107.0,5.0
2026-09-12,Dominik Szoboszlai,Liverpool FC,PL,,23.76728268309377,89493208.0,0.91,1.0,0.2,1,0,4,81438819.0,-9.0
2026-09-12,Luis Díaz,Liverpool FC,PL,,27.548254620123203,88083736.0,0.91,0.95,0.2,1,0,2,76148390.0,-13.5
2026-09-12,Xavi Simons,RB Leipzig,BL1,,21.281314168377826,87278152.0,1.0,1.0,0.0,0,0,0,87278152.0,0.0
2026-09-12,Bryan Mbeumo,Brentford FC,PL,,24.985626283367555,86841600.0,0.97,1.0,0.4,2,0,3,84236352.0,-3.0
2026-09-12,Michael Olise,FC Bayern München,BL1,,22.63655030800821,86521680.0,0.91,1.0,0.2,1,0,2,78734729.0,-9.0
2026-09-12,Jonathan David,Lille OSC,FL1,,24.54757015742642,85452208.0,1.0,1.0,0.0,0,0,0,85452208.0,0.0
2026-09-12,Nicolas Jackson,Chelsea FC,PL,,23.11567419575633,85393064.0,1.0,1.0,0.0,0,0,0,85393064.0,0.0
2026-09-12,Cody Gakpo,Liverpool FC,PL,,25.23750855578371,85159496.0,1.03,0.95,0.6,1,3,4,83328567.0,-2.1
2026-09-12,Phil Foden,Manchester City FC,PL,,24.177960301163587,83639888.0,1.0,1.0,0.0,0,0,0,83639888.0,0.0
2026-09-12,Enzo Fernández,Chelsea FC,PL,,23.537303216974674,83538968.0,1.0,1.0,0.0,0,0,0,83538968.0,0.0
2026-09-12,Federico Valverde,Real Madrid CF,PD,,26.028747433264886,83363720.0,1.0,0.95,0.0,0,0,0,79195534.0,-5.0
2026-09-12,Bradley Barcola,Paris Saint-Germain FC,FL1,,21.913757700205338,82975072.0,1.0,1.0,0.0,0,0,0,82975072.0,0.0
2026-09-12,Lamine Yamal,FC Barcelona,PD,,17.05407255304586,79266632.0,1.09,1.0,0.8,4,0,4,86400629.0,9.0
2026-09-12,Omar Marmoush,Eintracht Frankfurt,BL1,,25.481177275838466,78947208.0,1.0,0.95,0.0,0,0,0,74999848.0,-5.0
2026-09-12,Liam Delap,Ipswich Town FC,PL,,21.47843942505133,77898368.0,0.91,1.0,0.2,1,0,3,70887515.0,-9.0
2026-09-12,Pedri,FC Barcelona,PD,,21.683778234086244,76792840.0,0.95,1.0,0.3333,1,1,4,72953198.0,-5.0
2026-09-12,Jamal Musiala,FC Bayern München,BL1,,21.429158110882955,76388768.0,1.0,1.0,0.0,0,0,0,76388768.0,0.0
2026-09-12,Pedro Neto,Chelsea FC,PL,,24.39698836413416,74498632.0,0.91,1.0,0.2,1,0,4,67793755.0,-9.0
2026-09-12,Matheus Cunha,Wolverhampton Wanderers FC,PL,,25.182751540041068,74328448.0,1.0,0.95,0.0,0,0,0,70612026.0,-5.0
2026-09-12,Cole Palmer,Chelsea FC,PL,,22.23956194387405,74268504.0,1.05,1.0,0.6667,2,2,4,77981929.0,5.0
2026-09-12,Dejan Kulusevski,Tottenham Hotspur FC,PL,,24.268309377138944,71574152.0,1.0,1.0,0.0,0,0,0,71574152.0,0.0
2026-09-12,Eberechi Eze,Crystal Palace FC,PL,,26.091718001368925,71436952.0,1.0,0.95,0.0,0,0,0,67865104.0,-5.0
2026-09-12,Dani Olmo,FC Barcelona,PD,,26.236824093086927,70578968.0,1.0,0.95,0.0,0,0,0,67050020.0,-5.0
2026-09-12,Noni Madueke,Chelsea FC,PL,,22.39561943874059,70232368.0,1.0,1.0,0.0,0,0,0,70232368.0,0.0
2026-09-12,Amad Diallo,Manchester United FC,PL,,22.05886379192334,68797144.0,1.0,1.0,0.0,0,0,0,68797144.0,0.0
2026-09-12,Achraf Hakimi,Paris Saint-Germain FC,FL1,,25.741273100616016,68712432.0,1.0,0.95,0.0,0,0,0,65276810.0,-5.0
2026-09-12,Anthony Elanga,Nottingham Forest FC,PL,,22.26420260095825,67697480.0,0.97,1.0,0.4,2,0,3,65666556.0,-3.0
2026-09-12,Christian Pulisic,AC Milan,SA,,25.869952087611225,67456712.0,1.0,0.95,0.0,0,0,0,64083876.0,-5.0
2026-09-12,Álex Baena,Villarreal CF,PD,,23.033538672142367,66990892.0,1.07,1.0,0.7333,3,1,4,71680254.0,7.0
2026-09-12,Mohammed Kudus,West Ham United FC,PL,,23.99726214921287,66463860.0,1.0,1.0,0.0,0,0,0,66463860.0,0.0
2026-09-12,Kang-in Lee,Paris Saint-Germain FC,FL1,,23.44695414099932,66337464.0,0.95,1.0,0.3333,1,1,4,63020591.0,-5.0
2026-09-12,Marcus Rashford,Aston Villa FC,PL,,26.751540041067763,66229748.0,1.0,0.95,0.0,0,0,0,62918261.0,-5.0
2026-09-12,Bruno Guimarães,Newcastle United FC,PL,,26.70773442847365,66094216.0,1.0,0.95,0.0,0,0,0,62789505.0,-5.0
2026-09-12,Alexander Sørloth,Club Atlético de Madrid,PD,,28.657084188911703,66040408.0,1.0,0.95,0.0,0,0,0,62738388.0,-5.0
2026-09-12,James Maddison,Tottenham Hotspur FC,PL,,27.68788501026694,64216564.0,1.0,0.95,0.0,0,0,0,61005736.0,-5.0
2026-09-12,Andrey Santos,RC Strasbourg Alsace,FL1,,20.246406570841888,64151316.0,1.0,1.0,0.0,0,0,0,64151316.0,0.0
2026-09-12,João Pedro,Brighton & Hove Albion FC,PL,,22.847364818617383,63838108.0,1.09,1.0,0.8,3,3,4,69583538.0,9.0
2026-09-12,Darwin Núñez,Liverpool FC,PL,,25.10609171800137,63526432.0,1.0,0.95,0.0,0,0,0,60350110.0,-5.0
2026-09-12,Anthony Gordon,Newcastle United FC,PL,,23.43326488706365,62916756.0,1.0,1.0,0.0,0,0,0,62916756.0,0.0
2026-09-12,Harry Kane,FC Bayern München,BL1,,31.01163586584531,62613520.0,1.0,0.82,0.0,0,0,0,51343086.0,-18.0
2026-09-12,Sandro Tonali,Newcastle United FC,PL,,24.23271731690623,62563976.0,1.0,1.0,0.0,0,0,0,62563976.0,0.0
2026-09-12,Alexis Mac Allister,Liverpool FC,PL,,25.60438056125941,61968148.0,1.0,0.95,0.0,0,0,0,58869741.0,-5.0
2026-09-12,Alexander Isak,Newcastle United FC,PL,,24.862422997946613,61705132.0,1.03,1.0,0.6,3,0,4,63556286.0,3.0
2026-09-12,Morgan Rogers,Aston Villa FC,PL,,22.01779603011636,59788984.0,1.07,1.0,0.7333,3,1,4,63974213.0,7.0
2026-09-12,Kaoru Mitoma,Brighton & Hove Albion FC,PL,,27.200547570157426,59384156.0,1.0,0.95,0.0,0,0,0,56414948.0,-5.0
2026-09-12,Dominic Solanke,Tottenham Hotspur FC,PL,,26.88021902806297,59148692.0,1.0,0.95,0.0,0,0,0,56191257.0,-5.0
2026-09-12,Rafael Leão,AC Milan,SA,,25.144421629021217,58969584.0,1.0,0.95,0.0,0,0,0,56021105.0,-5.0
2026-09-12,Diogo Jota,Liverpool FC,PL,,27.65776865160849,58790236.0,1.0,0.95,0.0,0,0,0,55850724.0,-5.0
2026-09-12,Yoane Wissa,Brentford FC,PL,,27.90965092402464,58614000.0,0.95,0.95,0.3333,1,1,3,52899135.0,-9.8
2026-09-12,Leandro Trossard,Arsenal FC,PL,,29.659137577002053,58096884.0,1.0,0.95,0.0,0,0,0,55192040.0,-5.0
2026-09-12,Nick Woltemade,VfB Stuttgart,BL1,,22.46132785763176,58082592.0,1.0,1.0,0.0,0,0,0,58082592.0,0.0
2026-09-12,Antoine Semenyo,AFC Bournemouth,PL,,24.566735112936342,57861224.0,1.0,1.0,0.0,0,0,0,57861224.0,0.0
2026-09-12,Rodrygo,Real Madrid CF,PD,,23.55920602327173,56463224.0,1.0,1.0,0.0,0,0,0,56463224.0,0.0
2026-09-12,Bruno Fernandes,Manchester United FC,PL,,29.897330595482547,56254684.0,1.03,0.95,0.6,3,1,3,55045208.0,-2.2
2026-09-12,Rayan Cherki,Olympique Lyonnais,FL1,,20.95824777549624,56229044.0,1.03,1.0,0.6,2,2,3,57915915.0,3.0
2026-09-12,Gonçalo Ramos,Paris Saint-Germain FC,FL1,,23.11567419575633,56096108.0,0.91,1.0,0.2,1,0,4,51047458.0,-9.0
2026-09-12,Mikel Merino,Arsenal FC,PL,,28.109514031485283,54806364.0,1.0,0.95,0.0,0,0,0,52066046.0,-5.0
2026-09-12,Loïs Openda,RB Leipzig,BL1,,24.45722108145106,54588632.0,0.95,1.0,0.3333,1,1,3,51859200.0,-5.0
2026-09-12,Lautaro Martínez,FC Internazionale Milano,SA,,26.94318959616701,53912332.0,0.97,0.95,0.4,2,0,3,49680214.0,-7.8
2026-09-12,Fermín López,FC Barcelona,PD,,21.22655715263518,52869776.0,1.09,1.0,0.8,4,2,4,57628056.0,9.0
2026-09-12,Morgan Gibbs-White,Nottingham Forest FC,PL,,24.511978097193705,52853744.0,0.99,1.0,0.4667,1,2,4,52325207.0,-1.0
2026-09-12,Dušan Vlahović,Juventus FC,SA,,24.50924024640657,52533536.0,1.0,1.0,0.0,0,0,0,52533536.0,0.0
2026-09-12,Brennan Johnson,Tottenham Hotspur FC,PL,,23.19233401779603,52377656.0,1.0,1.0,0.0,0,0,0,52377656.0,0.0
2026-09-12,Justin Kluivert,AFC Bournemouth,PL,,25.24298425735797,52331320.0,0.91,0.95,0.2,1,0,4,45240426.0,-13.6
2026-09-12,Conor Gallagher,Club Atlético de Madrid,PD,,24.484599589322382,52011500.0,1.0,1.0,0.0,0,0,0,52011500.0,0.0
2026-09-12,Leroy Sané,FC Bayern München,BL1,,28.555783709787818,51825924.0,1.0,0.95,0.0,0,0,0,49234628.0,-5.0
2026-09-12,Jacob Murphy,Newcastle United FC,PL,,29.43463381245722,51423296.0,1.0,0.95,0.0,0,0,0,48852131.0,-5.0
2026-09-12,Omar Marmoush,Manchester City FC,PL,,25.481177275838466,50945324.0,1.0,0.95,0.0,0,0,0,48398058.0,-5.0
2026-09-12,Tijjani Reijnders,AC Milan,SA,,26.00958247775496,50386472.0,1.0,0.95,0.0,0,0,0,47867148.0,-5.0
