player_name,micro_position_group
Jérémy Jacquet,CB
Dehmaine Tabibou,CM
Giovane,ST
Marc Bartra,CB
Josh Acheampong,FB
Karl Darlow,GK
Claudio Echeverri,CAM
Sergi Roberto,CM
Jérémie Boga,W
Nacho Vidal,FB
Neal Maupay,ST
Iván Balliu,FB
Kang-in Lee,CAM
Romain Faivre,CAM
Rodrigo Muniz,ST
Fran Beltrán,CM
Victor Nelsson,CB
Rayan,W
Ngal'ayel Mukau,CDM
Gift Orban,ST
Salis Abdul Samed,CDM
Johnny Cardoso,CM
Chadi Riad,CB
Elia Caprile,GK
Isaac Romero,ST
Leandro Cabrera,CB
Ismaëlo Ganiou,CB
Amine Gouiri,ST
Giorgi Tsitaishvili,W
Jean-Philippe Mateta,ST
Quinten Timber,CM
Jurriën Timber,FB
Jorge Herrando,CB
Aleix Febas,CM
Adrien Thomasson,CM
Sékou Mara,ST
Destiny Udogie,FB
Roger Brugué,W
Martín Payero,CM
Nahuel Molina,FB
Martín Zubimendi,CDM
Ragnar Ache,ST
Abdou Harroui,CM
Jack Harrison,W
Álvaro Valles,GK
Oso,FB
Nobel Mendy,CB
Ilyas Ansah,ST
Erling Haaland,ST
Adama Boiro,FB
Iker Muñoz,CDM
Mario Sauer,CM
Evanilson,ST
Henrikh Mkhitaryan,CM
Devyne Rensch,FB
Micky van de Ven,CB
Jon Gorrotxategi,CDM
Jhon Lucumí,CB
Marshall Munetsi,CM
Bakery Jatta,W
Mats Wieffer,FB
Hervé Koffi,GK
Michel Mboula,CB
Karl Etta Eyong,ST
Moisés Caicedo,CDM
Emmanuel Agbadou,CB
Konstantinos Mavropanos,CB
Dakonam Djené,CB
Santiago Gimenez,ST
Tim Lemperle,ST
Pedro Porro,FB
Pierrick Capelle,CM
José Gayà,FB
Roman Yaremchuk,ST
Keven Schlotterbeck,CB
Martial Godo,W
Christian Ordóñez,CM
Jan Ziolkowski,CB
Ciro Immobile,ST
Estêvão,W
Nathaniel Clyne,FB
Jesper Karlström,CDM
Jon Moncayola,CM
Nahuel Estévez,CDM
Abdel Abqar,CB
Alemão,ST
Quentin Merlin,FB
Santiago Castro,ST
Wouter Burger,CDM
Ezri Konsa,CB
Nikola Milenković,CB
Mathias Pereira Lage,W
Abdoul Ouattara,FB
Jaidon Anthony,W
Nnamdi Collins,CB
Tolu Arokodare,ST
Billy Gilmour,CDM
Daniel Heuer Fernandes,GK
Amine Sbaï,W
Konrad Laimer,FB
Lucas Torró,CDM
Mousa Tamari,W
Shuto Machino,ST
Aurélien Tchouaméni,CDM
Rodrygo,W
Keinan Davis,ST
Alphonso Davies,FB
Assane Diao,W
Pau Navarro,CB
Carlos Espí,ST
Alisson,GK
James Justin,FB
Xaver Schlager,CM
Gonçalo Guedes,W
Álex Remiro,GK
Rubén García,W
Djibril Sow,CM
Farès Chaïbi,CAM
Stefan Posch,CB
Oliver Baumann,GK
Hyeok-kyu Kwon,CDM
Franco Mastantuono,W
Francesco Camarda,ST
Montrell Culbreath,W
Adrián Liso,W
Kevin Stöger,CAM
Jules Koundé,FB
Pol Lozano,CM
Bryan Mbeumo,W
Matteo Cancellieri,W
Ali Abdi,FB
Álex Sancris,W
Joan García,GK
Valentín Barco,CM
Pere Milla,W
Philipp Lienhart,CB
Raphinha,W
Zian Flemming,ST
Léo Pétrot,CB
Marcel Sabitzer,CM
Kareem Tunde,W
Wael Mohya,CAM
Dro Fernández,CAM
Kacper Potulski,CB
Jeffrey Gouweleeuw,CB
Fer López,CAM
Joaquín Panichelli,ST
Bazoumana Touré,W
Ryan Yates,CM
Arthur Avom,CM
Luca Reggiani,CB
Lennart Karl,CAM
Pedri,CM
Anthony Rouault,CB
Pascal Struijk,CB
Jackson Tchatchoua,FB
Nicola Zalewski,CM
Gonçalo Ramos,ST
Pablo Marí,CB
Martim Neto,CM
David Soria,GK
Luca Mazzitelli,CM
Morten Thorsby,CM
Benedikt Gimber,CB
Robert Navarro,W
Mohammed Salisu,CB
Hicham Boudaoui,CM
Jordan Torunarigha,CB
Fabiano Parisi,FB
Álex Baena,W
Ismaïla Sarr,W
Luis Henrique,CM
Javi Rodríguez,CB
Honest Ahanor,CB
Frederik Rönnow,GK
Ayden Heaven,CB
Amorim,CM
Zachary Athekame,FB
Terry Yegbe,CB
Yves Bissouma,CDM
Matty Cash,FB
João Gomes,CM
Omari Hutchinson,CAM
Duván Zapata,ST
Thibaut Courtois,GK
Karim Coulibaly,CB
Jair Cunha,CB
Niccolò Fortini,FB
Igor Thiago,ST
Ilan Kebbal,W
Zaid Romero,CB
Germán Valera,W
Nathan Ngoy,CB
Thilo Kehrer,CB
Kenan Yıldız,W
Alberto Moreno,FB
Oscar Højlund,CM
Santiago Hidalgo,ST
İsak Vural,CM
Jacopo Fazzini,CM
Sergi Cardona,FB
Denis Huseinbasic,CM
Javi Puado,W
Natan,CB
Franck Honorat,W
Leo Román,GK
Alex Scott,CM
Arthur Atta,CM
Mateo Pellegrino,ST
Aritz Elustondo,CB
Jay Idzes,CB
Mikkel Kaufmann,ST
Ruslan Malinovskyi,CM
Michel Adopo,CM
Edmond Tapsoba,CB
Lameck Banda,W
Sergio Carreira,FB
Marc Pubill,CB
Thomas Partey,CDM
Gerónimo Rulli,GK
Felipe Loyola,CM
Phil Foden,CAM
Felix Nmecha,CM
Jakub Kamiński,W
Tarik Muharemović,CB
Chris Wood,ST
Arsène Kouassi,FB
Valentín Gómez,CB
Sidiki Chérif,ST
Andrija Bulatovic,CM
Aaron Ramsdale,GK
Sam Johnstone,GK
Lanroy Machine,ST
Kaïl Boudache,W
Ayyoub Bouaddi,CM
Ibrahim Osman,W
Lautaro Martínez,ST
Matt O'Riley,CM
Luis Vázquez,ST
Mohammed Kudus,W
Stefano Turati,GK
Bart Verbruggen,GK
Johan Bakayoko,W
Mika Biereth,ST
Kristjan Asllani,CDM
Yannik Engelhardt,CDM
Zé Pedro,CB
Marius Louër,FB
Prosper Peter,ST
