player_name,club_prestige_eur
Jérémy Jacquet,9000000.0
Dehmaine Tabibou,2000000.0
Giovane,2800000.0
Marc Bartra,6000000.0
Josh Acheampong,35000000.0
Karl Darlow,14000000.0
Claudio Echeverri,3000000.0
Sergi Roberto,8000000.0
Jérémie Boga,5000000.0
Nacho Vidal,2000000.0
Neal Maupay,4000000.0
Iván Balliu,2500000.0
Kang-in Lee,40000000.0
Romain Faivre,3000000.0
Rodrigo Muniz,18000000.0
Fran Beltrán,3000000.0
Victor Nelsson,2800000.0
Rayan,20000000.0
Ngal'ayel Mukau,7000000.0
Gift Orban,2800000.0
Salis Abdul Samed,5000000.0
Johnny Cardoso,20000000.0
Chadi Riad,16000000.0
Elia Caprile,3500000.0
Isaac Romero,4000000.0
Leandro Cabrera,3000000.0
Ismaëlo Ganiou,5000000.0
Amine Gouiri,15000000.0
Giorgi Tsitaishvili,2000000.0
Jean-Philippe Mateta,16000000.0
Quinten Timber,15000000.0
Jurriën Timber,50000000.0
Jorge Herrando,2800000.0
Aleix Febas,3000000.0
Adrien Thomasson,5000000.0
Sékou Mara,3000000.0
Destiny Udogie,28000000.0
Roger Brugué,2000000.0
Martín Payero,2500000.0
Nahuel Molina,20000000.0
Martín Zubimendi,50000000.0
Ragnar Ache,3000000.0
Abdou Harroui,2800000.0
Jack Harrison,6500000.0
Álvaro Valles,6000000.0
Oso,4000000.0
Nobel Mendy,2500000.0
Ilyas Ansah,3000000.0
Erling Haaland,40000000.0
Adama Boiro,5000000.0
Iker Muñoz,2800000.0
Mario Sauer,4000000.0
Evanilson,20000000.0
Henrikh Mkhitaryan,23000000.0
Devyne Rensch,13000000.0
Micky van de Ven,28000000.0
Jon Gorrotxategi,9000000.0
Jhon Lucumí,9000000.0
Marshall Munetsi,12000000.0
Bakery Jatta,3750000.0
Mats Wieffer,22000000.0
Hervé Koffi,1800000.0
Michel Mboula,2000000.0
Karl Etta Eyong,2000000.0
Moisés Caicedo,35000000.0
Emmanuel Agbadou,12000000.0
Konstantinos Mavropanos,15000000.0
Dakonam Djené,2500000.0
Santiago Gimenez,20000000.0
Tim Lemperle,5000000.0
Pedro Porro,28000000.0
Pierrick Capelle,1800000.0
José Gayà,4500000.0
Roman Yaremchuk,9000000.0
Keven Schlotterbeck,4000000.0
Martial Godo,12000000.0
Christian Ordóñez,6000000.0
Jan Ziolkowski,13000000.0
Ciro Immobile,4000000.0
Estêvão,35000000.0
Nathaniel Clyne,16000000.0
Jesper Karlström,4750000.0
Jon Moncayola,2800000.0
Nahuel Estévez,6000000.0
Abdel Abqar,2500000.0
Alemão,2500000.0
Quentin Merlin,9000000.0
Santiago Castro,9000000.0
Wouter Burger,5000000.0
Ezri Konsa,20000000.0
Nikola Milenković,20000000.0
Mathias Pereira Lage,2500000.0
Abdoul Ouattara,12000000.0
Jaidon Anthony,6000000.0
Nnamdi Collins,10000000.0
Tolu Arokodare,12000000.0
Billy Gilmour,15000000.0
Daniel Heuer Fernandes,3750000.0
Amine Sbaï,1800000.0
Konrad Laimer,35000000.0
Lucas Torró,2800000.0
Mousa Tamari,9000000.0
Shuto Machino,4500000.0
